Table	Table Abbreviation	 Description
TMPCRPT	TCRPT	 Tableau des touches d'impression temporaire
TMPCSRQ	TCR	 Besoins de trésorerie temporaires
TMPDCH1	TM1	 Tableaux temporaires (frais)
TMPDCH2	TM2	 Tableaux temporaires (frais)
TMPDEMANDE	TDM	 Tableau du formulaire de demande temporaire
TMPDERO	TDE	 Tableau temporaire
TMPDFD	TDF	 Table temporaire DFDDPEreport
TMPDUCS	TDU	 DUCS
TMPDUCSEFF	HRTDE	 DUCS
TMPEMPLO	HRTCT	 Importer un employé et un contrat
TMPEMPLOPOR	TCTPO	 Contracter
TMPEXPENSE	EXT	 Tableau temporaire - Dépenses
TMPFAS1PAGE	T1PG	 Tmp. dépr. rapport d'une page
TMPFAS246G	T246	 Tmp. rapport d'amortissement
TMPFASLIST	TFL	 Tableau des touches d'impression temporaire
TMPFASPHY	TPH	 Affectation des éléments de la table temporaire
TMPFUP0	TF0	 Critères de campagne
TMPFUP1	TF1	 BP à rappeler
TMPFUP2	TF2	 Éléments ouverts à rappeler
TMPFUPCMT	TCF	 Commentaires sur les éléments ouverts
TMPGACCENTRD	TMPDAE	 Lignes d'écriture comptable
TMPGACCENTRY	TMPHAE	 Écritures comptables
TMPHISTO	TMP	 Historique de paie
TMPHSR	THR	 Historique de paie
TMPKRPT	TKRPT	 Tableau des touches d'impression temporaire
TMPLEARNT	TLR	 Tableau temporaire
TMPLISLOF	TLI	 Tableau des touches d'impression temporaire
TMPLIVRE	HRTML	 Journaux de paie
TMPLIVRESTD	HRTMD	 Journaux de paie
TMPLOFGRP	TLG	 Tableau temporaire
TMPLTAVCR	TLTV	 Barème temporaire des taxes locales
TMPMASFA2	MF2	 Actions des actifs de table temporaires
TMPMASFAS	MFS	 Actions des actifs de table temporaires
TMPMASLCK	TML	 Verrouillage de table à action de masse
TMPMASLEA	TLE	 Tableau temporaire des actions contractuelles
TMPMASLOF	MLF	 Tableau temporaire
TMPMASPHY	MPY	 Elément d'actions de table temporaire
TMPMOB	TMO	 Table temporaire (mobilité)
TMPMSLIVRE	TMM	 Total des journaux de paie
TMPODPAY	TOD	 MO de paie
TMPODPAYA	TOA	 MO de paie analytique
TMPODPREP	TOR	 Imprimer Payer MO
TMPORA	HRTPA	 Adhésion
TMPORG	HRTPO	 Organisations
TMPPAYDUD	TPD	 Proposition de paiement temporaire
TMPPAYDUD2	TP2	 Proposition de paiement temporaire
TMPPAYTOT	PYT	 Proposition de paiement temporaire
TMPPLNFAS	TPF	 Actions de planification de table temporaire
TMPPRPT	TPRPT	 Tableau des touches d'impression temporaire
TMPREEVAL	TRV	 Rapport de table temporaire DEPREEVAL
TMPSELCTR	TMC	 Sélection de contrat
TMPSELMAT	TMT	 Sélection des employés
TMPSES	TSE	 Table temporaire (session)
TMPSIMDERO	TDS	 Tableau des touches d'impression temporaire
TMPSITU	TSI	 Temp. tableau Rapport DEPSITU
TMPSRPT	TRPT	 Tableau des touches d'impression temporaire
TMPSRPTDET	TSRPTD	 Tableau des touches d'impression temporaire
TMPSUIMAS	TSM	 Table temporaire (suivi TP)
TMPTCHANGE	TCG	 Temp. des taux de change. tableau
TRACKTPLD	TKTD	 Température de suivi logistique. détail
TRACKTPLH	TKTH	 Modèle de suivi logistique
TRADESHOW	OMT	 Salons professionnels
TRAINER	HRTRN	 Formateur interne
TRANNOTED	TND	 Remarque relative au transport
TRANNOTEH	TNH	 Remarque relative au transport
TRANSPORT	TRNP	 Transport
TRCABX3	TAB	 Bûches Abel X3
TRCVCRDOC	TVD	 Fichier journal des écritures comptables
TRVACC	WAC	 Taux WA
TRVACCRAT	WAR	 Taux WA
TXSA	TXS	 Paramètres d'extraction de données financières
TXSAC	TXA	 Configuration des colonnes de la grille
TXSD	TXD	 Détail de l'extraction des données financières
TXSM	TXM	 Les montants
TXSP	TXP	 Paramètres de valeur/version
TXSV	TXX	 Variables supplémentaires de données Fin
TXSW	TXW	 Versions
TXTBOL	TXB	 Fichiers texte
TXTCTR	HRTXC	 Texte du document d'entrée
TYPACE	TPE	 Types d'écritures comptables
TYPACEINT	TPI	 Types d'écritures comptables
TYPACELEG	TPL	 Types d'écritures comptables
TYPCOMBEL	TYC	 Types de communications
TYPCOURSE	TCS	 Programme standard
TYPCOURSESA	TCSSA	 Programme standard
TYPWEEK	WTY	 Semaines de référence
UKAPPLEV	APPLEV	 Taxe d'apprentissage
UKBACRDM	BACRDM	 BACS britannique aléatoire
UKBACSER	BACSER	 Série BACS britannique
UKSMPLVE	SMPLVE	 Congé SMP
UKSPPLVE	SPPLVE	 Congé RPS
UKSSPLVE	SSPLVE	 Congé PAS
UNFILWRK	UNF	 Rapport sur les commandes en carnet
UNITOFTIME	UOT	 Unité de temps
UNPAID	UNP	 Saisie de reçu douteux
UPORDER	UOH	 Historique du bon de commande
UPORDERC	UOC	 Historique cumulé des bons de commande avant R
UPORDERP	UOP	 Historique des prix des bons de commande
UPORDERQ	UOQ	 Historique des quantités de bons de commande
USERGUIDES	UGD	 Guides d'utilisation
USRLEGSOA	USLS	 Législation
VALANA	VAN	 Valeurs analytiques
VALCPY	VCP	 Valeurs de l'entreprise
VALEMP	VEP	 Valeurs des employés
VALEUR	VLA	 Valeurs
VALFCY	VFC	 Valeurs du site
VALFDR	VFD	 Valeurs de la législation
VALPRV	VPR	 Valeurs provisoires
VALPRVH	VPH	 Valeurs provisoires
VARIA	VRA	 Variables
VARTEXT	VTX	 Texte des lignes de bordereau
VATBOX	VTB	 Boîtes de TVA
VATBOXD	VTD	 Boîtes de TVA
VATCLS	VCL	 Classement fiscal
VATENTFRM	VEF	 Formulaire TVA (définition)
VATENTFRMD	VEFD	 Détail du formulaire TVA (définition)
VATEXEREA	VER	 Raisons d'exonération de TVA
VATFRMENT	VFE	 Formulaire TVA (valeurs)
VATFRMENTA	VFEA	 Formulaire TVA
VATFRMENTC	VFEC	 Formulaire TVA par entreprise
VATFRMENTD	VFED	 Détail du formulaire TVA (valeurs)
VATFRMENTI	VFEI	 Données du service de déclaration de TVA
VATFRMENTN	VFEN	 Requêtes sur le formulaire TVA
VATGRP	VATGH	 En-tête de l'entité TVA
VATGRPD	VATGD	 Détails de l'entité TVA
VATHIS	VAT	 Fiscalité - historique
VATLINITMGER	VLI	 Éléments de campagne de TVA allemande
VDGERRSP	RSP	 État récapitulatif. param.
VDGERTRP	TRPG	 Paramètre de déclaration de revenus allemande
VDSWITRP	TRSP	 Suisse
VFEPSTTMP	VFEP	 Comptabilisation TVA
VPJMSOLITMD	VPSOD	 Liste des produits vendus
VPJMSOLITMH	VPSOH	 Création de documents de vente
VPJMSOLITMO	VPSOO	 Liste des produits vendus
VSORDER	VOH	 Historique des commandes clients - en-tête
VSORDERC	VOC	 Historique cumulé des commandes clients
VSORDERP	VOP	 Historique des commandes clients - prix
VSORDERQ	VOQ	 Historique des commandes clients - Quantités.
VSQUOTE	VQH	 Historique des offres de vente - en-tête
VSQUOTED	VQD	 Historique des offres de vente - détails
VXAMTTPY	VVXAMTP	 Sortie de matière temporaire
WAREHOUSE	WRH	 Entrepôts
WARFLYER	FLY	 Bons de garantie
WARREQCPN	RCW	 Lignes de demande de garantie
WARREQUEST	RQW	 Demandes de garantie
WCUNLISDET	WCU	 Imprimer l'inventaire
WEIGHING	WGG	 Pesée
WEIGHPRT	WGP	 Impression d'étiquettes
WHTDTL	WDL	 détail WHT
WHTHDR	WHR	 en-tête WHT
WIPCOST	MWI	 Valorisation du WIP
WIPRESW	WRW	 Résumé WIPCOST à ??imprimer
WIPSCPM	MSM	 Rejette le matériel temporaire
WIPSCPO	MSO	 Rejette l'opération temporaire
WIPTMP	MWT	 Interface Wipcost
WIPWSTTMP	WWT	 Température détaillée de l'opération WIPCOST
WORKCOST	MWC	 Dimension de calcul des coûts
WORKLOAD	WKL	 Charge de production
WORKSTATIO	MWS	 Postes de travail
WPOHBLOB	WBB	 Objet blob de bon de commande temporaire
WPOHWKT	WKT	 Imprimer les bons de commande à recevoir
WRKPURFCS	WPF	 Rapport sur le coût d'achat
WRKSTOCNS	WCN	 Demande de transfert de stock
WRKSTOPER	WSP	 Demande de stock par date
WSTANL	WSA	 Analyse du poste de travail
WSTOALL	WSTA	 Allocations
WSTOLOTFCY	WSL	 Lots - emplacements
WSTOQLYD	WQL	 Détail du contrôle qualité
WSTOREO	WREO	 Récommandes
